Wind Speed,GE 3.6sl,GE 2.5xl,GE 1.5s,SG_8.0-167_DD
0.0,0,0,0,0
0.5,0,0,0,0
1.0,0,0,0,0
1.5,0,0,0,0
2.0,0,0,0,0
2.5,15,0,0,0
3.0,35,0,0,0
3.5,70,30,19,48
4.0,109,63,35,169
4.5,170,129,55,350
5.0,236,194,75,593
5.5,350,295,114,930
6.0,467,395,153,1307
6.5,580,527,213,1737
7.0,720,658,274,2186
7.5,890,809,262,2730
8.0,1086,959,453,3278
8.5,1325,1152,583,3980
9.0,1564,1345,714,4687
9.5,1810,1604,862,5400
10.0,2057,1862,1011,6112
10.5,2370,2060,1163,6690
11.0,2684,2248,1315,7249
11.5,2940,2340,1450,7570
12.0,3133,2326,1489,7795
12.5,3280,2475,1495,7895
13.0,3393,2495,1500,7947
13.5,3475,2500,1500,7990
14.0,3542,2500,1500,8000
14.5,3570,2500,1500,8000
15.0,3593,2500,1500,8000
15.5,3600,2500,1500,8000
16.0,3600,2500,1500,8000
16.5,3600,2500,1500,8000
17.0,3600,2500,1500,8000
17.5,3600,2500,1500,8000
18.0,3600,2500,1500,8000
18.5,3600,2500,1500,8000
19.0,3600,2500,1500,8000
19.5,3600,2500,1500,8000
20.0,3600,2500,1500,8000
20.5,3600,2500,1500,8000
21.0,3600,2500,1500,8000
21.5,3600,2500,1500,8000
22.0,3600,2500,1500,8000
22.5,3600,2500,1500,8000
23.0,3600,2500,1500,8000
23.5,3600,2500,1500,8000
24.0,3600,2500,1500,8000
24.5,3600,2500,0,8000
25.0,3600,2500,0,8000
25.5,0,0,0,0
26.0,0,0,0,0
26.5,0,0,0,0
27.0,0,0,0,0
27.5,0,0,0,0
28.0,0,0,0,0
28.5,0,0,0,0
29.0,0,0,0,0
29.5,0,0,0,0
30.0,0,0,0,0
30.5,0,0,0,0
31.0,0,0,0,0
31.5,0,0,0,0
32.0,0,0,0,0
32.5,0,0,0,0
33.0,0,0,0,0
33.5,0,0,0,0
34.0,0,0,0,0
34.5,0,0,0,0
35.0,0,0,0,0
